customer_id,signup_date,gender,city,age
1,03-12-2024,Other,Delhi,46
2,28-05-2024,Male,Chennai,60
3,22-03-2022,Other,Delhi,20
4,12-12-2023,Other,Bangalore,27
5,06-02-2024,Male,Chennai,59
6,15-02-2022,Male,Delhi,31
7,29-10-2024,Other,Bangalore,29
8,09-07-2024,Female,Mumbai,64
9,19-01-2024,Other,Bangalore,59
10,29-04-2024,Other,Hyderabad,47
11,28-10-2022,Other,Chennai,49
12,17-03-2022,Other,Pune,49
13,16-12-2023,Male,Mumbai,59
14,13-09-2022,Other,Delhi,49
15,16-05-2022,Female,Chennai,43
16,28-08-2022,Male,Pune,18
17,09-02-2024,Female,Bangalore,59
18,05-09-2023,Female,Pune,19
19,07-01-2024,Female,Chennai,34
20,19-12-2023,Female,Chennai,47
21,29-08-2022,Male,Hyderabad,56
22,17-07-2024,Male,Hyderabad,24
23,25-04-2023,Female,Pune,44
24,01-08-2022,Female,Bangalore,26
25,23-08-2022,Male,Pune,39
26,02-08-2023,Male,Chennai,51
27,12-02-2023,Male,Chennai,63
28,02-06-2022,Other,Delhi,18
29,01-05-2022,Other,Hyderabad,26
30,30-08-2024,Other,Delhi,37
31,10-05-2022,Female,Mumbai,36
32,16-07-2022,Other,Chennai,53
33,11-06-2024,Female,Delhi,57
34,12-09-2024,Female,Pune,62
35,04-01-2024,Other,Hyderabad,21
36,15-11-2023,Female,Hyderabad,26
37,23-12-2023,Other,Bangalore,58
38,21-03-2024,Other,Pune,39
39,31-03-2023,Male,Bangalore,35
40,20-10-2024,Other,Delhi,29
41,01-04-2022,Male,Mumbai,59
42,13-05-2024,Other,Pune,60
43,21-09-2023,Other,Pune,56
44,26-09-2023,Male,Pune,26
45,12-05-2024,Male,Bangalore,23
46,17-12-2022,Other,Delhi,36
47,23-06-2024,Female,Pune,64
48,09-03-2024,Male,Pune,24
49,07-12-2024,Female,Hyderabad,33
50,12-09-2023,Female,Mumbai,22
51,26-10-2024,Female,Hyderabad,33
52,17-12-2024,Male,Hyderabad,18
53,29-01-2022,Female,Mumbai,54
54,15-09-2024,Male,Delhi,56
55,22-05-2022,Female,Hyderabad,36
56,09-01-2022,Other,Delhi,54
57,22-09-2024,Other,Hyderabad,34
58,06-06-2023,Male,Chennai,43
59,27-06-2023,Other,Mumbai,39
60,11-06-2024,Other,Hyderabad,25
61,19-06-2024,Female,Chennai,50
62,13-03-2023,Male,Bangalore,19
63,12-09-2022,Female,Chennai,47
64,03-02-2023,Female,Pune,64
65,11-04-2023,Female,Hyderabad,37
66,01-04-2024,Female,Chennai,35
67,17-10-2024,Female,Delhi,60
68,09-10-2024,Female,Bangalore,27
69,21-08-2024,Female,Hyderabad,41
70,24-05-2023,Male,Pune,21
71,06-08-2022,Other,Chennai,54
72,20-07-2024,Female,Bangalore,21
73,06-06-2024,Female,Hyderabad,30
74,14-08-2023,Female,Bangalore,42
75,29-12-2022,Female,Pune,30
76,30-10-2022,Female,Chennai,35
77,04-04-2024,Female,Bangalore,41
78,16-06-2022,Other,Bangalore,19
79,10-08-2024,Other,Mumbai,50
80,20-09-2022,Female,Bangalore,36
81,14-12-2023,Other,Mumbai,26
82,02-10-2023,Male,Chennai,45
83,11-05-2023,Female,Hyderabad,52
84,20-10-2022,Male,Hyderabad,56
85,09-01-2023,Male,Chennai,27
86,03-09-2023,Female,Chennai,18
87,12-08-2022,Other,Delhi,59
88,26-04-2023,Male,Chennai,38
89,05-06-2024,Female,Bangalore,26
90,14-04-2024,Male,Hyderabad,64
91,26-09-2022,Male,Pune,32
92,20-12-2022,Male,Hyderabad,52
93,27-01-2022,Male,Mumbai,22
94,30-03-2024,Other,Hyderabad,58
95,01-11-2022,Male,Delhi,39
96,14-10-2024,Male,Chennai,58
97,14-09-2024,Male,Chennai,40
98,01-12-2023,Other,Hyderabad,24
99,03-08-2022,Male,Pune,40
